bike_id,start_hour,start_station_id,end_station_id,trip_duration,birth_year,start_year,end_hour,Age,Age Category,Start_time,End_time
16013,18,523,334,993,1968.0,2013,18,45.0,Adults,6 PM,6 PM
15230,18,257,236,581,1983.0,2013,18,30.0,Adults,6 PM,6 PM
17942,19,479,513,361,1989.0,2013,19,24.0,Adults,7 PM,7 PM
19683,11,527,441,561,1988.0,2013,12,25.0,Adults,11 AM,12 PM
18024,18,521,476,2296,1975.6277864298831,2013,18,37.37221357011692,Adults,6 PM,6 PM
14581,22,293,432,427,1986.0,2013,22,27.0,Adults,10 PM,10 PM
15022,13,380,317,639,1994.0,2013,13,19.0,Youth,1 PM,1 PM
16253,10,346,212,263,1969.0,2013,10,44.0,Adults,10 AM,10 AM
16745,12,510,422,666,1993.0,2013,12,20.0,Youth,12 PM,12 PM
19556,16,446,342,582,1983.0,2013,17,30.0,Adults,4 PM,5 PM
15732,20,457,512,1313,1975.6277864298831,2013,20,37.37221357011692,Adults,8 PM,8 PM
15316,23,251,460,1250,1985.0,2013,23,28.0,Adults,11 PM,11 PM
15522,2,393,2022,1007,1979.0,2013,2,34.0,Adults,2 AM,2 AM
15503,9,388,152,1043,1967.0,2013,9,46.0,Adults,9 AM,9 AM
17172,15,546,284,820,1981.0,2013,15,32.0,Adults,3 PM,3 PM
15973,18,167,440,174,1959.0,2013,18,54.0,Adults,6 PM,6 PM
19355,6,404,296,1286,1976.0,2013,7,37.0,Adults,6 AM,7 AM
15651,18,363,514,1751,1975.6277864298831,2013,19,37.37221357011692,Adults,6 PM,7 PM
18863,7,445,476,667,1989.0,2013,7,24.0,Adults,7 AM,7 AM
18846,17,505,459,817,1985.0,2013,18,28.0,Adults,5 PM,6 PM
14814,1,528,301,806,1976.0,2013,1,37.0,Adults,1 AM,1 AM
18434,7,512,252,624,1974.0,2013,7,39.0,Adults,7 AM,7 AM
16918,20,366,430,471,1978.0,2013,20,35.0,Adults,8 PM,8 PM
18024,14,380,379,614,1971.0,2013,15,42.0,Adults,2 PM,3 PM
15136,18,385,435,1202,1981.0,2013,19,32.0,Adults,6 PM,7 PM
17723,9,252,357,236,1966.0,2013,10,47.0,Adults,9 AM,10 AM
17506,16,389,389,478,1975.6277864298831,2013,16,37.37221357011692,Adults,4 PM,4 PM
17273,8,526,167,332,1987.0,2013,8,26.0,Adults,8 AM,8 AM
15578,8,420,274,254,1965.0,2013,8,48.0,Adults,8 AM,8 AM
20611,19,503,2000,143,1985.0,2013,19,28.0,Adults,7 PM,7 PM
18856,10,253,449,1098,1951.0,2013,11,62.0,Adults,10 AM,11 AM
17004,16,471,388,2057,1954.0,2013,17,59.0,Adults,4 PM,5 PM
18706,17,446,426,950,1969.0,2013,17,44.0,Adults,5 PM,5 PM
16564,12,469,501,609,1989.0,2013,12,24.0,Adults,12 PM,12 PM
19177,23,116,477,580,1983.0,2013,23,30.0,Adults,11 PM,11 PM
20603,14,245,346,1850,1988.0,2013,14,25.0,Adults,2 PM,2 PM
